"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|Cont_P34955|A1AT_BOVIN",-20.8981181166,-20.9852763284,-21.5949364484,-22.1391052092,-21.1623488411,-20.4522603896,10,10,12,11,8,16,0.816355423433875,0.934782608695652,0.0917945155000019
"sp|Cont_P41361|ANT3_BOVIN",-22.4545067501,-23.5048091955,-22.5275077294,-21.5290802517,-23.6619659396,-21.1679184608,9,8,6,11,6,9,0.217080046403712,0.558798999165972,-0.709286340966663
"sp|Cont_P50448|F12AI_BOVIN",-24.2203665462,NA,NA,-24.1981711496,NA,NA,1,2,NA,1,1,NA,NA,NA,NA
"sp|Cont_P60712|ACTB_BOVIN",-16.0376280847,-15.9560332318,-16.0584372187,-15.9138505464,-15.6672727898,-15.7383813026,413,362,371,440,399,400,0.390926044083527,0.736416184971098,-0.244197965466666
"sp|Cont_P63103|1433Z_BOVIN",-18.7052964638,-17.9117527228,-17.8646780284,-18.0954200757,-17.8651482493,-18.0382914253,93,33,90,96,92,94,0.629126160092807,0.868852459016393,-0.160955821566667
"sp|Cont_P67983|MT1A_BOVIN",NA,NA,NA,NA,-20.4527584053,NA,1,1,NA,1,3,2,NA,NA,NA
"sp|Cont_P68138|ACTS_BOVIN",NA,NA,NA,NA,NA,-22.717789076,259,228,227,271,243,253,NA,NA,NA
"sp|Cont_P81187|CFAB_BOVIN",NA,-25.0449390536,NA,NA,NA,NA,NA,4,1,NA,2,NA,NA,NA,NA
"sp|Cont_P81948|TBA4A_BOVIN",-21.9374899328,-21.3553982786,-21.8727546883,-21.8536806697,-21.7374005883,-21.7557387863,116,94,89,118,106,106,0.831871954756381,0.942148760330578,0.0603923815333367
"sp|Cont_Q03247|APOE_BOVIN",-21.5686201877,-22.8572395962,-23.1037751781,-21.5418111787,-22.7510636424,-23.163611399,6,7,6,6,5,5,0.940337587006961,0.967414050822123,-0.0243829139666651
"sp|Cont_Q28065|C4BPA_BOVIN",-22.1730582742,-22.9837497194,-22.6958792225,-22.2936889102,-22.5169196995,-22.4544773978,10,5,6,7,9,6,0.550742749419954,0.83983666061706,-0.195867069533332
"sp|Cont_Q28085|CFAH_BOVIN",-25.3112278024,-25.5634939467,-24.2077498585,-24.2693650322,-23.1129930044,-23.9027015299,2,2,3,4,5,5,0.0243061194895592,0.171428571428571,-1.2658040137
"sp|Cont_Q28107|FA5_BOVIN",-23.4056571305,-23.5365543169,-23.9457954384,-23.4742285385,-23.1579498774,-24.8333312217,13,14,9,13,15,10,0.643851798143852,0.874148296593186,0.192500917266667
"sp|Cont_Q28178|TSP1_BOVIN",-25.5821733166,NA,NA,-23.956104507,-24.2979108683,-24.3327625083,9,4,6,4,4,6,NA,NA,NA
"sp|Cont_Q29443|TRFE_BOVIN",-19.9472053835,-19.8227816649,-19.4616304413,-19.3833986248,-19.4039317008,-19.5729990217,33,28,37,37,34,34,0.354585701856149,0.700980392156863,-0.290429380799999
"sp|Cont_Q2KJD0|TBB5_BOVIN",-17.7106686759,-17.660097716,-17.8477278991,-17.748001445,-17.5773277275,-17.6053395774,297,272,254,321,298,295,0.715285237819026,0.899815837937385,-0.095941847033334
"sp|Cont_Q2KJF1|A1BG_BOVIN",-22.9331322092,NA,-22.5979521036,-22.9576915842,-23.6318352408,-22.1074537005,4,3,4,3,3,3,0.750275087006961,0.906861002488446,0.133451352099996
"sp|Cont_Q2UVX4|CO3_BOVIN",-22.0810483939,-23.0501920337,-21.9642677934,-22.1062590453,-22.6562419733,-21.8662712797,23,21,25,26,21,22,0.677512761020882,0.883281972265023,-0.1555786409
"sp|Cont_Q2YDI2|ORC4_BOVIN",NA,NA,NA,-23.8201206074,NA,NA,2,1,NA,2,1,1,NA,NA,NA
"sp|Cont_Q32PJ2|APOA4_BOVIN",-22.3454715641,NA,NA,NA,-22.9232389376,-22.0936512335,3,3,2,1,1,3,NA,NA,NA
"sp|Cont_Q3MHN2|CO9_BOVIN",-23.738607553,NA,NA,-22.7877998056,-22.6649373941,NA,6,4,5,6,4,2,NA,NA,NA
"sp|Cont_Q3SX14|GELS_BOVIN",-22.7182351774,-23.8544602272,-23.422521744,-22.9519996092,-23.4279757319,-22.8605698974,12,10,11,12,10,14,0.502620504640371,0.81431334622824,-0.251557303366667
"sp|Cont_Q3SYV4|CAP1_BOVIN",-23.2270524983,-21.7327353117,-21.8542511558,-22.2107561491,-21.8100453155,-21.6991346147,17,16,14,19,16,14,0.394369779582367,0.741230592294422,-0.364700962166665
"sp|Cont_Q3SZV7|HEMO_BOVIN",-23.1177759796,-22.4850336816,-23.4192817183,-23.2104965917,NA,-22.2234183694,2,2,1,2,NA,3,0.489802059164733,0.806057645334636,-0.290406312616668
"sp|Cont_Q3T052|ITIH4_BOVIN",-21.383209494,-21.0678280097,-21.631299912,-21.2927204779,-21.2216626478,-21.3154992204,18,13,14,22,16,18,0.768075841067285,0.914245712285614,-0.0841516898666654
"sp|Cont_Q3ZBD7|G6PI_BOVIN",-23.7299930288,-22.4200854431,-22.6482109727,-23.4315814597,-21.9011145158,-23.3582041368,4,3,14,3,3,3,0.919523781902552,0.961409905803707,-0.0357964441000007
"sp|Cont_Q7SIH1|A2MG_BOVIN",-21.9912620778,-22.1930474041,-21.6151841041,-20.9017118125,-21.5884801764,-21.3233093441,25,25,25,32,29,28,0.0896725638051044,0.362573099415205,-0.661997417666665
"sp|Cont_Q95121|PEDF_BOVIN",-21.8923454718,-22.4109657023,-22.3956729202,-21.8013481529,-22.0225916029,-22.1935618921,9,5,7,8,8,9,0.4770781612529,0.794705294705295,-0.227160815466668
"sp|Cont_Q9N2I2|IPSP_BOVIN",-22.3900385807,NA,NA,-22.5489093591,-22.0931885998,-23.4688564352,2,NA,1,3,3,2,NA,NA,NA
"sp|Cont_Q9TTE1|SPA31_BOVIN",-22.9932683175,-22.6286622595,-23.2786949824,-22.3363719566,-22.1165282894,-23.256751083,5,4,8,6,5,6,0.319070475638051,0.670811518324607,-0.396991410133332
"sp|E9PAV3|NACAM_HUMAN",-23.8195410927,-22.8922174375,-23.2167645779,-23.067134119,-22.5517795566,-22.2303379004,16,19,18,22,20,21,0.103556844547564,0.39699863574352,-0.693090510699999
"sp|E9PRG8|CK098_HUMAN",-20.8528335309,-20.6012027169,-21.120565399,-22.2849829709,NA,-20.5388268169,4,2,2,3,3,2,0.270113109048724,0.626099706744868,0.553704344966668
"sp|G2XKQ0|SUMO5_HUMAN",-21.3997064529,-21.0169860605,-21.1067181491,NA,-21.6649113845,NA,3,2,2,2,2,2,NA,NA,NA
"sp|O00116|ADAS_HUMAN",-21.0078730422,-20.6968881616,-20.9050103462,-20.8813049257,-20.8141017302,-20.7676287742,14,16,11,12,14,14,0.847312209976798,0.945076373090673,-0.048912039966666
"sp|O00139|KIF2A_HUMAN",-23.0197626385,-23.0210512823,-24.4849505415,-22.9578797825,-23.4574253575,-22.8776365781,9,8,10,9,9,6,0.348412993039443,0.697026022304833,-0.410940914733334
"sp|O00148|DX39A_HUMAN",-19.3440698881,-19.789084435,-20.0403943918,-20.1268186655,-19.4096375795,-19.657999288,39,36,35,38,38,35,0.965684599767981,0.975330396475771,0.00696893936666498
"sp|O00151|PDLI1_HUMAN",-19.0841794073,-19.4971262203,-19.1204216361,-18.9680145922,-19.8313267624,-19.1864904662,19,13,16,19,16,18,0.769957221577726,0.914685314685315,0.0947015190333325
"sp|O00154|BACH_HUMAN",-20.956441813,-20.9022767435,-20.2618504094,-21.593576018,-20.470604912,-20.3974662679,11,12,12,11,12,15,0.760829611368909,0.908482928546287,0.113692743999998
"sp|O00159|MYO1C_HUMAN",NA,NA,NA,NA,NA,-25.1104217526,NA,NA,NA,2,NA,2,NA,NA,NA
"sp|O00161|SNP23_HUMAN",-20.535715221,-20.6855735603,-22.3573262218,-20.0728656296,-20.1009290979,-20.3820451484,7,5,4,7,6,5,0.0582346287703016,0.290262172284644,-1.00759170906667
"sp|O00165|HAX1_HUMAN",NA,-22.7526070218,-22.6531581202,NA,NA,NA,2,2,2,3,3,3,NA,NA,NA
"sp|O00170|AIP_HUMAN",-21.0528931006,-20.8340406733,-21.3953158702,-20.8728439066,-20.435580076,-20.6428765716,7,9,8,10,10,11,0.201928509280742,0.543439716312057,-0.443649696633333
"sp|O00178|GTPB1_HUMAN",-22.5188652582,-22.893609592,-23.7484801376,-22.6458300238,-22.2704045543,-22.7032087857,5,7,3,5,6,5,0.211132250580046,0.555366269165247,-0.513837208000002
"sp|O00186|STXB3_HUMAN",-23.1961057534,-24.7389709742,-22.5764567045,-24.6429275731,-23.5411627196,-22.5549202475,4,2,7,5,4,4,0.8726406612529,0.949889694295619,0.0758257027000013
"sp|O00193|SMAP_HUMAN",-20.265131958,-20.2052336844,-19.8043691551,-19.7310422992,-19.6085668072,-19.970376875,3,5,5,5,4,5,0.320349767981438,0.671447196870926,-0.321582938700001
"sp|O00203|AP3B1_HUMAN",-24.0024990152,-23.1014530436,-24.968984974,-24.2694923004,-23.4124868846,-23.8671577885,5,9,9,11,9,6,0.68440936774942,0.88553987027852,-0.174600019766668
"sp|O00214|LEG8_HUMAN",NA,NA,NA,NA,-22.5603017461,NA,1,2,NA,2,3,2,NA,NA,NA
"sp|O00217|NDUS8_HUMAN",-21.1563600999,-21.030385114,-20.1237492453,-20.9424231143,-20.0849024831,-21.8240891311,6,4,7,5,7,5,0.676529437354988,0.882035466461064,0.180306756433332
"sp|O00231|PSD11_HUMAN",-18.8731124584,-19.0562199577,-18.6046249178,-18.8777986709,-19.345190425,-19.0566928532,35,29,34,38,30,37,0.433160672853828,0.761879337960491,0.248574871733332
"sp|O00232|PSD12_HUMAN",-20.235965861,-19.8027452047,-20.6367165059,-20.6341037017,-20.3415360512,-20.4921198499,19,15,13,20,11,15,0.435759135730858,0.764110756123536,0.264110677066668
"sp|O00233|PSMD9_HUMAN",-21.0991847496,-20.5332745895,-20.9214879237,-21.0136535857,-21.0100702467,-21.4126701858,5,5,5,6,5,7,0.374788718097448,0.717507418397626,0.294148918466668
"sp|O00244|ATOX1_HUMAN",-19.8786712563,-19.2750670796,-20.1613859464,-20.7672686253,-19.0560979387,-20.068977535,4,5,2,3,6,4,0.64911716937355,0.87515006002401,0.192406605566667
"sp|O00267|SPT5H_HUMAN",-20.6870264695,-21.0209918462,-20.8755073516,-20.4383971441,-20.294822949,-21.2397014408,25,25,22,28,28,24,0.558361658932715,0.841539838854073,-0.203534711133333
"sp|O00273|DFFA_HUMAN",-20.2373749009,-21.1736394335,-21.2966424908,-21.3426205005,-20.8031856479,-20.5714860149,11,6,6,6,8,6,0.975571490719258,0.977564102564103,0.00321177936666572
"sp|O00299|CLIC1_HUMAN",-16.8754706994,-16.5812538468,-16.898695336,-16.8328127759,-16.5848132702,-16.653878685,64,66,62,68,62,56,0.732630945475638,0.903353768481789,-0.0946383836999978
"sp|O00303|EIF3F_HUMAN",-19.7617758828,-19.2806997504,-19.7650560229,-19.3992502273,-19.4502177472,-19.6415232525,19,17,15,22,17,16,0.72014530162413,0.900625690099374,-0.105513476366667
"sp|O00330|ODPX_HUMAN",-23.3788705179,-23.7278716218,-23.047491815,-23.4455859461,-23.4474157828,-23.3681981265,7,4,4,9,4,2,0.892035237819025,0.956199876619371,0.0356553002333335
"sp|O00399|DCTN6_HUMAN",-21.5194237156,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA
"sp|O00410|IPO5_HUMAN",-20.2695446175,-20.5705316744,-20.3800401377,-20.1318494139,-20.2991489913,-20.4365900355,31,30,28,37,31,35,0.676355568445476,0.881989973004242,-0.117509329633332
"sp|O00411|RPOM_HUMAN",NA,NA,NA,-23.772954713,-24.6353965228,NA,2,NA,1,2,2,1,NA,NA,NA
"sp|O00418|EF2K_HUMAN",-24.6196729023,-24.6381216964,-24.3239561756,NA,NA,NA,2,4,3,3,2,NA,NA,NA,NA
"sp|O00422|SAP18_HUMAN",-20.4799721215,-21.9882641246,-19.979463407,-20.598688841,-21.169693796,-21.5907390177,10,5,7,8,4,9,0.518245939675174,0.823501651722511,0.303807333866665
"sp|O00425|IF2B3_HUMAN",-20.879303429,-22.3962426414,-21.1123666185,-21.0443687915,-20.56131551,-20.2940775203,27,16,18,26,23,19,0.0896429814385151,0.362573099415205,-0.829383622366667
"sp|O00429|DNM1L_HUMAN",-20.9467946659,-21.0172135666,-20.8686038524,-20.7802057738,-21.0036593405,-20.3275178824,16,16,17,21,15,22,0.452676189095128,0.772633744855967,-0.240409696066667
"sp|O00442|RTCA_HUMAN",-21.1291484523,-22.867421837,-21.3011255384,-20.7308806989,-21.0003194577,-22.6509579762,6,6,7,7,6,6,0.552418358468677,0.83996383363472,-0.305179231633332
"sp|O00459|P85B_HUMAN",-25.1010199022,NA,NA,NA,NA,NA,2,NA,2,2,2,NA,NA,NA,NA
"sp|O00471|EXOC5_HUMAN",NA,-23.800619574,-24.2909242069,-24.5747783528,NA,-24.4116095895,2,2,2,2,NA,2,0.21863747099768,0.558798999165972,0.447422080700001
"sp|O00483|NDUA4_HUMAN",-20.5119376516,-20.2198953111,-21.4187094079,-21.8785619029,-20.2817711718,-19.6518262965,5,5,2,2,3,4,0.807198230858469,0.932391523713421,-0.112794333133333
"sp|O00487|PSDE_HUMAN",-20.9313809573,-21.9177317785,-21.6886964635,-20.4052607987,-21.9533373622,-21.5945416348,8,2,6,13,5,9,0.643737238979118,0.874148296593186,-0.194889801199999
"sp|O00505|IMA4_HUMAN",-22.5519028758,-23.762438352,-24.376604251,-23.1570663442,-22.0474419618,-23.2875165899,5,2,2,4,3,5,0.161223607888631,0.473366834170854,-0.73297352763333
"sp|O00506|STK25_HUMAN",NA,NA,NA,NA,-24.0335957526,NA,1,1,1,2,1,1,NA,NA,NA
"sp|O00541|PESC_HUMAN",-21.495079411,-21.9400049031,-21.9954280357,-21.8942450372,-22.1357169184,-21.8856593993,14,14,12,12,11,10,0.592714617169374,0.851455479452055,0.161703001700001
"sp|O00560|SDCB1_HUMAN",NA,NA,-22.5089838104,-22.9053718963,-22.5928441479,NA,NA,NA,2,1,3,NA,NA,NA,NA
"sp|O00566|MPP10_HUMAN",-21.7043017885,-21.0311065375,-20.9101075223,-21.2135732949,-20.9761904675,-21.0243275105,10,11,10,14,9,13,0.657901392111369,0.875690607734807,-0.143808191799998
"sp|O00567|NOP56_HUMAN",-22.6957905203,-23.9913585894,-23.0454672252,-22.0435618759,-22.4058746418,-22.3797828691,8,7,7,11,8,9,0.0416619779582367,0.254716981132075,-0.9677989827
"sp|O00571|DDX3X_HUMAN",-21.4832582108,-21.9419461986,-23.3505953672,-21.4779115269,-22.1227648878,-21.5986350093,46,52,52,54,51,53,0.267234193735499,0.618382352941176,-0.525496117533333
"sp|O00584|RNT2_HUMAN",-22.208305113,-23.1481859246,NA,-21.9571326525,-23.6093389487,-23.0189883925,3,2,4,3,3,3,0.693770156612529,0.893439514599924,0.183574479099999
"sp|O00629|IMA3_HUMAN",-20.6395827501,-21.6458493306,-21.2715772798,-20.8016919294,-20.7742569256,-20.0779559489,13,8,12,13,12,17,0.133819315545244,0.440408626560726,-0.634368185533333
"sp|O00743|PPP6_HUMAN",-23.0337077569,-22.9367590423,-22.7665083985,NA,-22.221131424,-22.8161027966,2,1,5,5,2,5,0.262412848027842,0.613890963405527,-0.3937079556
"sp|O00764|PDXK_HUMAN",-21.0305042862,-20.5024989757,-20.3816251946,-20.6974915716,-20.6343991094,-20.2398515015,9,10,9,7,8,10,0.717732888631091,0.899815837937385,-0.114295424666665
"sp|O13516|RS9A_YEAST",-22.2700355738,-21.5981185884,-22.2288014878,-22.2285225797,-22.5145775569,-22.261179268,7,10,1,1,7,1,0.3723438225058,0.716071428571429,0.302441251533335
"sp|O13547|CCW14_YEAST",-21.8644628739,NA,-21.7378673754,NA,-22.5985770668,NA,1,1,1,NA,1,1,NA,NA,NA
"sp|O13563|RPN13_YEAST",-21.8393524152,-21.0127015184,-21.7037226625,-21.9359875408,-21.2662699943,-21.0161778193,3,3,2,2,2,2,0.750887035962877,0.906861002488446,-0.112447080566664
"sp|O14455|RL36B_YEAST",-21.8313978007,-20.6437002586,-20.1529211926,NA,-20.79140295,-21.8780207643,9,16,19,14,12,11,0.375134715777262,0.717842323651452,0.458705439849997
"sp|O14467|MBF1_YEAST",-20.6811969078,-21.0404547036,-22.3478563766,-20.8140347191,-21.0606727053,NA,7,7,6,6,6,6,0.384380220417633,0.728922716627635,-0.419148950466667
"sp|O14497|ARI1A_HUMAN",-22.7539730111,-23.3111918679,-22.7572266185,-22.78599129,-22.8293944603,-23.027239764,20,17,20,22,19,15,0.835104988399072,0.943458251150559,-0.0599219943999998
"sp|O14530|TXND9_HUMAN",-21.9615851218,-20.2125945774,-20.8546669805,-20.3581568319,-20.6792799184,-20.8842775154,5,6,7,6,8,6,0.399167778422274,0.742338251986379,-0.369044138
"sp|O14545|TRAD1_HUMAN",-22.1591835691,-21.4042986287,-23.4685455608,-21.6395846282,-22.4695741634,-21.707156912,11,10,7,10,11,12,0.398847447795824,0.742338251986379,-0.405237351666667
"sp|O14561|ACPM_HUMAN",-20.6005606279,-19.1963193517,-19.7050429204,-19.519501272,-19.3927151571,-20.1898081951,8,9,8,11,11,8,0.730818880510441,0.903353768481789,-0.133299425266667
"sp|O14562|UBFD1_HUMAN",-23.1688933168,NA,NA,-22.9386150225,-22.8783252649,NA,6,3,3,4,6,NA,NA,NA,NA
