"","protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","abundance_A_2","abundance_B_2","abundance_A_3","abundance_B_3","log_ratios_B..vs.A.","differential_abundance_qvalue_B..vs.A."
"11","sp|Q9BQE3|TBA1C_HUMAN",62,65,65,68,63,66,31.2924338390265,31.3897472536027,31.4913677331589,31.3855269888015,31.6454139240738,31.7050240988293,0.0170276149914332,1
"12","sp|P68371|TBB4B_HUMAN",71,72,76,77,78,81,31.5083862299239,31.7153934463384,31.7337755409273,31.5308437481336,31.8156650251328,31.8330079954734,0.00713946465379915,1
"13","sp|P08238|HS90B_HUMAN",69,73,79,75,76,75,32.4180708338616,32.4628789071211,32.8308196202282,32.6073746792996,32.8834656264552,32.8943272721318,-0.0559250739974975,1
"14","sp|P00359|G3P3_YEAST",74,75,71,60,57,57,33.3184324780074,32.1812687488549,33.6190838365966,32.3416339180598,33.5542335430005,32.647648797402,-1.10706613109594,0.0562749028432591
"15","sp|Cont_P81948|TBA4A_BOVIN; sp|P68366|TBA4A_HUMAN",59,61,60,62,64,62,30.7974730360149,30.8940113526777,31.1088206552698,30.8686363556295,31.1761337254481,31.1930902078546,-0.0422298335236656,1
"16","sp|P00924|ENO1_YEAST",65,66,69,54,50,54,32.5526394328356,31.4600861299258,32.7794251068456,31.5061094813237,32.8601734000627,31.8499313311603,-1.1253703324447,0.053754450349871
"17","sp|Q9BVA1|TBB2B_HUMAN",63,64,64,70,66,74,31.2528128089794,31.5003212334241,31.5062768265617,31.2904531492907,31.5743073342571,31.6011725242134,0.0195166457099999,1
"18","sp|Q00610|CLH1_HUMAN",55,53,61,59,62,66,29.0824354357514,29.188820622564,29.4790436935323,29.188224506556,29.5307856565369,29.5132854457426,-0.067311403652667,1
"19","sp|Q13885|TBB2A_HUMAN",60,61,68,68,71,68,31.2626646530835,31.5031763369805,31.5190175749964,31.2945256798843,31.5828005502296,31.6080174315747,0.0137455567099991,1
"20","sp|Q15149|PLEC_HUMAN",49,40,53,53,51,54,29.2444030347226,27.2822411922044,29.6033036287671,28.6456499676597,29.7369122097637,29.0719899420981,-1.1949125904304,0.21774017473463
"21","sp|Cont_Q2HJ86|TBA1D_BOVIN",53,52,61,53,53,62,31.0817077234955,31.2374117365814,31.2345069760248,31.154913112761,31.4140131510057,31.473987969007,0.0453616559411323,1
"22","sp|P07900|HS90A_HUMAN",58,62,63,61,61,60,31.9648385269406,32.020829415279,32.3788205768465,32.1673103317119,32.4460571075736,32.4585342781203,-0.0476807287498329,1
"23","sp|Cont_P68103|EF1A1_BOVIN; sp|P68104|EF1A1_HUMAN",55,61,62,56,61,57,32.6173832751954,32.3462342562169,32.9507968605083,32.5296588359553,32.9959775708758,32.8475025246096,-0.280254029932564,1
"24","sp|P13639|EF2_HUMAN",58,58,61,57,65,69,30.8270663484999,30.6668798507831,31.1592317178142,30.9278754160971,31.2025437063977,31.185905008435,-0.136060499132202,1
"25","sp|P04406|G3P_HUMAN",41,46,51,50,54,56,31.8298045949935,31.4615555099142,32.0799129513626,31.4699849305805,32.0583338250615,31.8039016065589,-0.410869774788002,0.961982231189026
"26","sp|P11142|HSP7C_HUMAN",58,60,54,59,51,60,31.9140279400355,31.9024636269461,32.2824313942702,31.9364142796393,32.2876164315032,32.2371807789794,-0.136005693414699,1
"27","sp|P00549|KPYK1_YEAST",55,52,66,46,42,55,32.1500909275668,31.117413711858,32.5200075001516,31.1518093591798,32.5611370022896,31.5756601877191,-1.1287840570837,0.0573332435487838
"28","sp|P10591|HSP71_YEAST",59,56,60,48,48,54,31.6551478809921,31.0123307645868,31.986519385497,31.0541122514437,32.0164743875633,31.3015241044169,-0.763391511201667,0.163305620419032
"29","sp|P14540|ALF_YEAST",51,53,57,38,37,44,31.2417732854893,30.0694900861922,31.4747518762086,30.1317128632209,31.502753759998,30.4846123577342,-1.17782120484953,0.0186608736435714
"30","sp|P06733|ENOA_HUMAN",52,48,50,52,48,45,31.7355696581878,31.7378194073095,31.9587934088381,31.8248681583857,32.0997275934233,32.1519160160011,-0.0264956929176326,1
"31","sp|O75369|FLNB_HUMAN",44,51,47,49,46,49,27.2894994251753,27.433754537814,27.7810777094643,27.6964759251878,27.8137365759344,27.8453147914738,0.0304105146338678,1
"32","sp|Q14315|FLNC_HUMAN",52,50,51,53,54,51,28.3513203437728,28.4286581746292,28.7953352931472,28.592727564672,28.8145854972286,28.8501324580545,-0.0299076455976343,1
"33","sp|P10592|HSP72_YEAST",54,50,57,46,46,54,31.5372799074453,30.9273266768355,31.871783816102,30.9942629617054,31.9300552905302,31.2276318064674,-0.7299658563564,0.202109735434077
"34","sp|P49792|RBP2_HUMAN",38,46,44,45,44,46,27.3062519760894,27.3160972603292,27.6667867955139,27.4179650253707,27.8434700696207,27.701475792853,-0.126990254223699,1
"35","sp|O75643|U520_HUMAN",49,43,47,54,55,53,28.0488861017267,28.183656278323,28.332522033597,28.1595252324978,28.5045144896312,28.4610204884739,-0.0272402085534023,1
"36","sp|P52272|HNRPM_HUMAN",52,58,63,51,57,65,29.4119147437425,29.3124103431091,29.700951659339,29.4032514563951,29.7390596135419,29.6425897316831,-0.164558161812034,1
"37","sp|P07814|SYEP_HUMAN",49,40,47,43,49,53,28.2804439948448,28.2096412142317,28.7417140544867,28.5220176528241,28.7957298473981,28.863877351821,-0.0741172259509331,1
"38","sp|P04075|ALDOA_HUMAN",46,49,52,50,51,53,31.1291764034174,31.1773664606123,31.6206637250685,31.2643851842841,31.5866020539107,31.611080309248,-0.0945367427507323,1
"39","sp|Q5T4S7|UBR4_HUMAN",41,45,51,42,44,54,27.4380830504912,27.5907030815642,27.9453828395052,27.6572592360706,27.9682192420894,28.0502331162971,-0.0178298993846333,1
"40","sp|Q08211|DHX9_HUMAN",52,51,52,50,52,60,28.941347123886,29.0022280337446,29.3509917709336,29.1025550037571,29.4047311302818,29.4475080485197,-0.0482596463599994,1
"41","sp|P35579|MYH9_HUMAN",39,38,46,48,47,56,27.8483969591661,27.7043439929627,28.0933190682539,28.1552050362289,28.2532492207931,28.5012467911916,0.0552768573900326,1
"42","sp|P32324|EF2_YEAST",50,51,54,42,43,38,30.3810493884642,29.3626977995131,30.7387372686536,29.5353926204494,30.7532102190048,29.8833200007863,-1.03052881845793,0.0694116859322553
"43","sp|Q6P2Q9|PRP8_HUMAN",41,39,47,45,49,49,27.4862928438057,27.5315307895069,27.9511100172687,27.5512101157049,28.0478353352136,27.9580110083987,-0.148162094225833,1
"44","sp|Q13263|TIF1B_HUMAN",38,40,42,43,46,46,28.5510112787088,28.5479477936547,28.8397043465016,28.5106633747837,28.7747266460926,28.8116080182519,-0.0984076948708991,1
"45","sp|P16521|EF3A_YEAST",51,53,52,35,39,38,29.5412052322711,28.609165884969,29.9012871270341,28.6092201155614,29.9215526866336,28.908288068714,-1.07912365889813,0.0338737107700909
"46","sp|Q9BUF5|TBB6_HUMAN",44,44,50,50,50,51,30.2674092247153,30.4523904424572,30.4328268089286,30.2210069028027,30.4883785657148,30.4904203888264,-0.00826562175746659,1
"47","sp|P35580|MYH10_HUMAN",43,39,45,41,50,50,27.572422216115,27.850797942367,28.0695633454534,28.0578871431917,28.5662567365689,28.3717472701809,0.0240633525340996,1
"48","sp|O43707|ACTN4_HUMAN",52,42,46,44,49,50,28.6873846544585,28.746518011453,29.0390996081595,28.831513303191,29.1209326571422,29.1165747899696,-0.0509369383822005,1
"49","sp|P00560|PGK_YEAST",58,51,53,46,47,47,32.8095326417695,31.9499716516387,33.1664335834507,31.8888373384817,33.2012542230811,32.2171876940266,-1.04040792138477,0.0615908318152139
"50","sp|Q92616|GCN1_HUMAN",34,36,39,40,39,47,27.3598054481042,27.5805512879954,27.7911519561627,27.6121671472046,27.9667063672829,28.0863249600809,0.0537932079103681,1
"51","sp|P0DMV8|HS71A_HUMAN; sp|P0DMV9|HS71B_HUMAN",43,44,43,42,39,42,31.1651221394198,30.9877842676086,31.4824790816858,31.1461960538771,31.5605370376544,31.3291802998252,-0.248325879149699,1
"52","sp|P07259|PYR1_YEAST",47,39,47,36,28,36,28.105631851542,27.2205346484283,28.3885080762767,27.2779547900932,28.5096443048035,27.607343747737,-0.965983682121234,0.0748262487394039
"53","sp|P00358|G3P2_YEAST",53,49,49,45,41,41,33.1394698522755,32.0504186352196,33.4657359040663,32.2077705615822,33.3978067422124,32.5060347630355,-1.0795961795723,0.0575894395734052
"54","sp|P19097|FAS2_YEAST",48,47,48,36,29,35,27.9869658084102,27.2699337917474,28.236801800019,27.4707618805979,28.5227947393797,27.7916106479107,-0.738085342517633,0.172050896867682
"55","sp|P02994|EF1A_YEAST",50,48,44,36,43,39,32.6134013403869,31.8596693745788,32.9809060637937,32.1757572437355,32.9926045695302,32.460726848145,-0.696919502417167,0.330773760051922
"56","sp|P27708|PYR1_HUMAN",36,37,40,47,41,51,27.366845780345,27.4647429105279,27.6159437726482,27.3078100469157,27.7195209497945,27.7371447889592,-0.0642042521283,1
"57","sp|P10809|CH60_HUMAN",39,40,44,44,42,44,30.0572277704195,30.1182570580844,30.5265489073375,30.0917265602958,30.3798559804044,30.3720906844835,-0.127186118432567,1
"58","sp|P12270|TPR_HUMAN",38,44,43,42,41,46,27.5567200372941,27.7769091744125,28.0226543023857,27.8052470376877,28.0743709759234,28.0978800673955,0.00876365463083317,1
"59","sp|Q09666|AHNK_HUMAN",29,33,29,31,31,32,26.8181445659224,27.0288946752551,27.3382604664707,26.9738612945148,27.2932604414242,27.2372064589731,-0.0699010150247652,0.998539328928335
"60","sp|P42704|LPPRC_HUMAN",47,44,45,45,46,43,28.2886008286156,28.4144371119214,28.499159283005,28.4029411355131,28.7154231933686,28.7409988604799,0.0183979343083998,1
"61","sp|P22102|PUR2_HUMAN",43,41,41,39,36,39,28.5680212741739,28.6579651689478,28.8886500820898,28.6291049962055,29.0563327558678,29.0921603069822,-0.0445912133320003,1
"62","sp|P18206|VINC_HUMAN",39,41,41,43,39,45,29.0461764675882,28.3680535926398,29.6032316275061,29.2519411777888,29.574734639588,29.5435718535078,-0.353525370248634,1
"63","sp|P14618|KPYM_HUMAN",34,38,37,44,36,41,29.4703136864946,29.458228238966,29.7704509723314,29.5275790175286,29.799769745759,29.832252632408,-0.0741581718941333,1
"64","sp|P07149|FAS1_YEAST",42,41,46,25,27,29,27.7033151523685,26.6869643449285,28.1069850640347,26.8337635422139,28.0663874956097,27.1860790170648,-1.05662693593523,0.0659149286701634
"65","sp|P53396|ACLY_HUMAN",37,34,39,42,37,42,27.9856640790187,28.0407233252208,28.3118514002397,28.055743161638,28.4133420443522,28.4257452895853,-0.0628819157221668,1
"66","sp|Cont_P00330|ADH1_YEAST; sp|P00330|ADH1_YEAST",36,39,45,29,27,27,32.0678536489825,30.8909192064533,32.3199007154171,31.0318780171797,32.3290613320946,31.3467897751029,-1.1490762325861,0.053754450349871
"67","sp|P14866|HNRPL_HUMAN",33,33,38,38,37,38,28.6220509254955,28.6814698462502,29.0978819958117,28.7045349192814,29.0267446186686,29.0595598373019,-0.100370979047434,1
"68","sp|Q13509|TBB3_HUMAN",36,38,42,46,43,44,30.8547339170201,31.0684948996114,31.08745053938,30.8161817279065,31.1144235580767,31.1548368013331,-0.00569819520859956,1
"69","sp|Q14980|NUMA1_HUMAN",32,33,34,36,35,34,26.3326953425779,26.3089379306086,26.7681609980607,26.5810345781328,26.8834649738762,26.8327865070683,-0.0871874329017004,1
"70","sp|P38646|GRP75_HUMAN",35,36,34,42,36,36,29.9808863707025,29.8296651594375,30.3644611836171,29.9023089566167,30.5654435639284,30.1724441428785,-0.335457619771766,0.897893303971376
"71","sp|P50990|TCPQ_HUMAN",39,39,41,43,43,46,29.5382126185069,29.5819288644933,29.8954075750138,29.7650396953668,30.0004326434713,30.0478002299283,-0.0130946824012004,1
"72","sp|P06576|ATPB_HUMAN",31,32,33,39,37,39,29.3524395183864,29.3239269365812,29.6391754095145,29.2048979558858,29.7830185983835,29.6215304344905,-0.208092733108967,1
"73","sp|P0A853|TNAA_ECOLI",22,23,24,43,42,40,28.5172404611195,30.4075547253568,28.8886735833577,30.2778627302009,28.8026548998355,30.6020876160458,1.69297870909693,0.0158344669857479
"74","sp|P00558|PGK1_HUMAN",27,29,30,34,35,37,29.7289657303222,29.8674189234334,30.0959059463286,29.7893457818226,30.2883987643825,30.1131921140821,-0.1144378738984,1
"75","sp|P00360|G3P1_YEAST",43,40,38,36,29,33,32.5040870900485,31.4316286926695,32.8834912632555,31.646501360579,32.8124653413863,31.9467302426979,-1.05839446624797,0.0651182589681622
"76","sp|P60010|ACT_YEAST",35,33,41,26,28,33,31.7528673433469,31.5293177104963,31.9578655448941,31.6391013113687,31.9975248534544,31.8873209408834,-0.217505926315667,1
"77","sp|Q12906|ILF3_HUMAN",33,35,30,32,36,36,27.9933639451247,28.1468832627231,28.4464304867031,28.1905205390527,28.5368932829032,28.5569380798305,-0.0274486110415673,1
"78","sp|P78371|TCPB_HUMAN",31,32,36,35,35,34,28.7399705079604,28.9095109728189,29.2940392997047,28.9235276132925,29.3111372729363,29.3067528886467,-0.0684518686144339,1
"79","sp|P55072|TERA_HUMAN",38,37,38,36,35,47,28.6715304849422,28.7931796895755,29.0080055535201,28.6159686850909,29.0848987103918,29.0410585141155,-0.104742620024067,1
"80","sp|P34932|HSP74_HUMAN",34,34,34,34,35,37,28.2801342828806,28.4998316571115,28.603662223039,28.466556591585,28.66137527091,28.6709264395807,0.0307143038158676,1
"81","sp|P05030|PMA1_YEAST",36,36,37,25,27,27,29.2502175900091,28.2862707960584,29.7033850742565,28.404354726848,29.6862811207482,28.6751646422593,-1.09136453994937,0.0449511588240635
"82","sp|Q7KZF4|SND1_HUMAN",33,29,32,37,40,41,28.5463623817357,28.5135379819131,28.926379975018,28.6128706340037,29.6975460278348,28.9025992373748,-0.380426843765635,1
"83","sp|P22314|UBA1_HUMAN",30,33,32,29,32,35,27.7042006496904,27.6668594853001,27.9740719569461,27.7291929542181,28.0405109707644,28.075561897707,-0.0823897467252337,1
"84","sp|P02549|SPTA1_HUMAN",28,32,31,28,29,34,26.4869062002503,26.4122679858015,27.1088329357468,26.3754810980647,26.7476836783037,26.6352833691686,-0.306796787088667,0.905437176898894
"85","sp|Q14974|IMB1_HUMAN",31,31,34,33,34,36,28.0567486685623,28.2358855351548,28.5068651658356,28.281420702648,28.6186368743569,28.483724398739,-0.060406690737666,1
"86","sp|P11484|SSB1_YEAST",42,37,34,31,31,35,29.9972214400555,29.0620715079147,30.2828364623053,28.994679117701,30.3152197834666,29.316377249663,-1.07404993684957,0.0338737107700909
"87","sp|Q00955|ACAC_YEAST",39,33,41,30,24,24,27.3752897832102,26.9480435838162,27.776978429286,26.5203350060966,27.7754536516896,26.6562217875569,-0.934373828905366,0.0900808417993591
"88","sp|P35658|NU214_HUMAN",30,27,31,33,33,33,27.0234721433062,26.967011427061,27.4457896996489,27.1741687888884,27.6742300979387,27.4743406965716,-0.175990342790933,1
"89","sp|P33991|MCM4_HUMAN",27,31,31,33,34,33,27.7097291952943,27.7599602911467,28.0143545982351,27.9313279798664,28.1553157663453,28.1506071058219,-0.012501394346567,1
"90","sp|P48643|TCPE_HUMAN",32,29,32,37,34,30,29.016190579711,29.4803145387893,30.0026977756679,29.1329621704018,29.3787752088887,29.9439685609997,0.0531939019743994,1
"91","sp|P49368|TCPG_HUMAN",29,35,32,35,35,35,29.015811628751,29.3413596026637,29.3994031066566,29.0933825837159,29.5480577780252,29.5541068099019,0.0085254942829008,1
"92","sp|P16157|ANK1_HUMAN",28,25,28,26,31,33,26.1245481108643,26.3105068342897,26.6321413422029,26.3150247314699,26.6563171635941,26.6866421137187,-0.0336109790609989,1
"93","sp|P49321|NASP_HUMAN",31,28,35,29,36,32,28.240436593808,28.0165175745169,28.7481081708463,28.5428775384964,28.7612710114142,28.8362961947884,-0.118041489422267,1
"94","sp|P16861|PFKA1_YEAST",32,32,37,22,25,28,28.597287069772,28.0741527350704,28.7925088279991,27.8619507236812,28.8449566446168,28.1778998830847,-0.706916400183868,0.106096438575149
"95","sp|P40150|SSB2_YEAST",39,36,33,31,30,35,30.0067328640651,29.1100588623425,30.2987114698085,29.03175234825,30.3258618177047,29.3396779590181,-1.04993899398923,0.0338737107700909
"96","sp|P04806|HXKA_YEAST",36,33,40,25,28,30,29.6802651871595,28.703053496144,29.9171156314424,28.7177656257896,30.0237929244778,29.0276267909737,-1.0575759433908,0.0338737107700909
"97","sp|P31539|HS104_YEAST",31,37,40,28,25,29,28.4533470050438,27.7396708199175,29.1395800793142,28.0816539306827,28.789948688031,28.4506473231422,-0.703634566215533,0.426258028064464
"98","sp|Q13200|PSMD2_HUMAN",30,35,34,35,29,40,27.7032010731316,27.2809267693155,27.5951316829399,27.4292589750336,28.1514845413646,27.7846279568754,-0.318334532070532,0.894568261474736
"99","sp|Q3ZCM7|TBB8_HUMAN",30,27,36,35,37,35,30.097867211222,30.3069720005902,30.3228562274169,30.1375632786662,30.4320165323924,30.4253485882543,0.00571463215980117,1
"100","sp|Q15029|U5S1_HUMAN",32,28,34,31,31,33,27.9703668718542,27.95014613117,28.3661857223576,28.1068913226993,28.4255032865769,28.4208612722678,-0.0947190515505329,1
"101","sp|P12709|G6PI_YEAST",27,26,33,27,22,22,29.5649061932836,28.556962746375,29.8479286469369,28.6734735292058,29.8150845029507,28.9139418685181,-1.02784706635743,0.0338737107700909
"102","sp|P17987|TCPA_HUMAN",30,27,31,33,35,36,29.0650257301951,29.0464782520717,29.4321297282755,29.1762513843764,29.5012879808147,29.4987025419709,-0.0923370869554319,1
"103","sp|P31939|PUR9_HUMAN",27,29,29,32,28,33,27.9003088027546,27.9815591818547,28.1239442438998,27.9783199616695,28.1214294915661,28.3137761059158,0.0426575704064985,1
"104","sp|Q00839|HNRPU_HUMAN",29,28,35,34,35,33,29.6347527886284,29.7343701753603,29.977021675262,29.7479055155605,30.0596694111536,30.0878493255441,-0.0337729528597007,1
"105","sp|P40926|MDHM_HUMAN",29,30,32,31,34,32,29.7126069720008,29.8304071770498,30.0195301573814,29.8572370792154,30.1796075456366,30.2358309146335,0.00391016529329965,1
"106","sp|P43243|MATR3_HUMAN",26,29,27,29,29,34,27.9438158632502,27.7996745053341,28.3963679013093,28.0425277451574,28.4200763802132,28.4227002660401,-0.165119209413701,1
"107","sp|P46940|IQGA1_HUMAN",28,28,28,31,30,32,26.9094081499335,26.996972079859,26.8117677274195,26.7138137733406,26.9454137401466,26.907463482179,-0.0161134273736666,1
"108","sp|Q15365|PCBP1_HUMAN",29,22,28,27,29,32,28.9744599296008,28.9410297802199,29.2237146566471,28.9884920966832,29.444590046886,29.3310015124606,-0.127413747923401,1
"109","sp|P00338|LDHA_HUMAN",29,32,34,34,30,34,30.5287370279016,30.4278978412168,30.8563984564099,30.4766703200603,30.8361846473125,30.8036933385948,-0.171019543917365,0.967215858029276
"110","tr|Cont_Q1WEI2|Q1WEI2_PSEAI",28,27,32,28,26,27,30.259269009661,29.977590266935,30.5362498247263,30.0964325462789,30.4786004104421,30.3489532714525,-0.283714386720999,1
"111","sp|Q9UPN3|MACF1_HUMAN",15,20,18,24,20,27,25.709630134758,25.8223651436511,26.2337796883148,25.5912740816851,26.2411416180094,25.9727138438639,-0.2660661239607,1
"112","sp|P41252|SYIC_HUMAN",32,34,34,35,37,31,27.0370547332207,27.3192090338093,28.0916179418447,27.7776725006535,27.9997178348699,27.4464720093776,-0.195012322031632,0.994716421889004
"113","sp|P55060|XPO2_HUMAN",23,31,32,29,33,36,27.6696063366143,27.7047700331745,28.1019259938677,27.8616241315389,28.1913656047637,28.1297144225119,-0.0889297826734664,1
"114","sp|Q04637|IF4G1_HUMAN",28,33,32,34,32,35,27.374055769735,27.3963036116994,27.5898528420607,27.5092608351024,27.7363161447087,27.6983834576573,-0.0320922840151011,1
"115","sp|Q7Z6Z7|HUWE1_HUMAN",29,22,29,30,26,25,26.2404227635048,26.2165315501614,26.1877299206346,26.1088539877497,26.4671474166197,26.1660308023153,-0.134627920177566,1
"116","sp|Q99832|TCPH_HUMAN",29,29,32,30,32,34,28.9448761889475,29.0007656355477,29.3606842232423,29.2176197809747,29.3898265373247,29.5286170959321,0.0172051876466668,1
"117","sp|P15108|HSC82_YEAST",35,41,39,37,36,34,31.0556086328997,30.6720005429891,31.4592885219753,30.7393138936622,31.5549705294859,31.0400920224881,-0.539487075073833,0.726687955935557
"118","sp|P26038|MOES_HUMAN",28,28,31,27,34,37,28.7904584744455,28.6083685389031,29.1627751549768,28.9367632773217,29.225995230516,29.2314746282525,-0.134207471820333,1
"119","sp|P09651|ROA1_HUMAN",28,28,32,31,27,29,30.075301396142,30.0747157487924,30.2743770156748,30.0257803124911,30.3320492544747,30.3669944784866,-0.0714123755071334,1
"120","sp|O75533|SF3B1_HUMAN",30,25,25,24,27,30,27.0940072720849,26.9773256974577,27.3737264945851,27.2285282261292,27.4990939388355,27.6854487187421,-0.0251750210588331,1
"121","sp|Q9UQ35|SRRM2_HUMAN",25,27,25,26,24,26,26.6522033953255,26.4943444935897,26.9927864136468,26.7845628621976,27.0676967788879,27.0809334662527,-0.117615255273401,1
"122","sp|A6NHR9|SMHD1_HUMAN",19,25,23,25,26,30,26.0855992075971,26.3679064696016,26.7338825746006,26.4339056639171,26.6281859683495,26.8719215893172,0.0753553240962338,1
"123","sp|P49588|SYAC_HUMAN",27,27,28,29,26,33,27.5381207128907,27.6405521033278,28.0228090371579,27.7411981669405,27.9922356252085,28.0335601190206,-0.0459516619894001,1
"124","sp|P22626|ROA2_HUMAN",27,28,30,28,28,29,30.0306439016312,30.0376205128794,30.2464361783183,30.0984250637701,30.3577597782557,30.4064920482238,-0.0307674111106344,1
"125","sp|Q9NU22|MDN1_HUMAN",21,19,21,24,20,26,26.4120048396704,26.2902440310234,26.6697821318607,26.1080124658109,26.7063407671136,26.3366186503691,-0.351084197147099,0.798708632313852
"126","sp|P09972|ALDOC_HUMAN",28,26,24,26,26,24,28.8784096389227,28.8732665832276,29.2401670973924,28.9638888865027,29.2361848889856,29.3012363322328,-0.072123274445867,1
"127","sp|O14980|XPO1_HUMAN",26,24,28,29,29,32,27.4321409454018,27.6031715104931,27.8641614852315,27.6224613070286,28.0200087175285,28.0738883841989,-0.00559664881373341,1
"128","sp|Q14008|CKAP5_HUMAN",24,22,30,26,27,27,26.601908927467,26.743682914831,27.1474232602629,26.6455871950495,27.033019303092,26.8463492895354,-0.182244030468668,0.969519422468252
"129","sp|P50991|TCPD_HUMAN",26,20,26,30,27,31,28.932337140686,28.906404376058,29.3133754814336,29.1337692042108,29.4269301341029,29.4647030320051,-0.0559220479828658,1
"130","sp|P19414|ACON_YEAST",32,29,32,25,26,26,28.3503795926648,27.5011908977871,28.747767255347,27.5025415753096,28.9724362828698,28.1214927300126,-0.9817859759241,0.0941621831343833
"131","sp|P63244|RACK1_HUMAN",25,23,26,28,25,24,28.9728332829503,28.9653889510802,29.3639431658467,29.0124731409038,29.1744202672958,29.0880638864458,-0.148423579221001,1
"132","sp|P02545|LMNA_HUMAN",35,36,36,35,36,37,29.081097358006,28.9774099911183,29.5068413221803,29.2397034049812,29.4409426505855,29.5270311730635,-0.0949122538696017,1
"133","sp|P22137|CLH_YEAST",26,31,23,14,16,21,26.9722742964911,26.1250498524161,27.3647123091901,26.2566496886968,27.2367578687951,26.3545289248128,-0.945838669516866,0.0701084839940355
"134","sp|P13796|PLSL_HUMAN",26,27,27,31,29,32,27.5509235892245,27.770683650999,27.8795294994688,27.6010174201703,28.5653066539625,28.5041402036095,-0.0399728226256665,1
"135","sp|P09874|PARP1_HUMAN",26,28,31,27,30,28,27.9297178477156,27.9617695542581,28.1161841839162,27.9837847226414,28.1370417858936,28.1186795760071,-0.0395699882062672,1
"136","sp|Q9NR30|DDX21_HUMAN",28,32,31,29,31,34,27.9001827449455,28.1039866366624,28.361015818719,28.1925202346342,28.5136327920479,28.5176053575485,0.0130936243775655,1
"137","sp|P38972|PUR4_YEAST",25,25,25,15,14,18,29.0842650356953,28.5755579425574,29.4533429856165,28.6732797415318,29.5318410588123,28.9476770637764,-0.624311444086167,0.0645053926151827
"138","sp|Cont_P02769|ALBU_BOVIN",24,24,32,29,33,33,27.9402301552275,27.8865440968713,28.384915727942,28.0398610053566,28.4610584699212,28.3691227156917,-0.163558845057034,1
"139","sp|P26599|PTBP1_HUMAN",22,24,23,29,22,24,27.894442740362,28.0011177980499,28.2838506834521,28.2660498916776,28.5195778281696,28.55258432292,0.0406269202212677,1
"140","sp|P12814|ACTN1_HUMAN",23,24,25,27,26,26,27.4648787384747,27.6241317948232,27.736662150464,27.5717172358866,27.856948255237,27.8895394263966,0.00896643764356616,1
"141","sp|P11940|PABP1_HUMAN",27,27,30,28,27,32,28.2370478485234,28.4065719740292,28.5650994047371,28.3356914281588,28.7247950608499,28.6584630935642,-0.0420719394527325,1
"142","sp|Q15393|SF3B3_HUMAN",22,19,21,18,26,28,27.1091037176204,27.1756681708115,27.5422844566124,27.3155444430136,27.6226838228808,27.663785987194,-0.0396911320314987,1
"143","sp|P02829|HSP82_YEAST",32,37,35,31,30,29,30.9781746982809,30.6265073599751,31.3911485156172,30.6845216707327,31.4786069520792,30.9871753469541,-0.5165752627718,0.832637204693688
