"accession"	"species"	"Accession_without_shared_peptide"	"pep_count"
"sp|A0A087WV53|SPEGN_HUMAN"	"HUMAN"	FALSE	105
"sp|A0A087WV62|TVB16_HUMAN"	"HUMAN"	TRUE	37
"sp|A0A087WVF3|TBC3D_HUMAN"	"HUMAN"	FALSE	245
"sp|A0A087WW87|KV240_HUMAN"	"HUMAN"	FALSE	23
"sp|A0A087WWA1|P3URF_HUMAN"	"HUMAN"	TRUE	45
"sp|A0A087WXM9|MEIKN_HUMAN"	"HUMAN"	FALSE	158
"sp|A0A087WXS9|TBC3I_HUMAN"	"HUMAN"	FALSE	245
"sp|A0A087X0K7|TVB17_HUMAN"	"HUMAN"	TRUE	34
"sp|A0A087X0M5|TVB18_HUMAN"	"HUMAN"	FALSE	53
"sp|A0A087X179|TBC3E_HUMAN"	"HUMAN"	FALSE	245
"sp|A0A087X1C5|CP2D7_HUMAN"	"HUMAN"	FALSE	164
"sp|A0A087X1G2|TBC3K_HUMAN"	"HUMAN"	FALSE	247
"sp|A0A096LNP1|D131B_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A096LP01|SIM26_HUMAN"	"HUMAN"	TRUE	35
"sp|A0A096LP49|CC187_HUMAN"	"HUMAN"	FALSE	436
"sp|A0A096LP55|QCR6L_HUMAN"	"HUMAN"	FALSE	30
"sp|A0A096LPI5|GVQW2_HUMAN"	"HUMAN"	TRUE	30
"sp|A0A096LPK9|ORN4C_HUMAN"	"HUMAN"	FALSE	85
"sp|A0A0A0MRZ7|KVD26_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0A0MRZ8|KVD11_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A0A0MRZ9|LV552_HUMAN"	"HUMAN"	FALSE	25
"sp|A0A0A0MS00|LV332_HUMAN"	"HUMAN"	FALSE	13
"sp|A0A0A0MS01|TVG10_HUMAN"	"HUMAN"	FALSE	50
"sp|A0A0A0MS02|TRGV1_HUMAN"	"HUMAN"	FALSE	35
"sp|A0A0A0MS03|TVB53_HUMAN"	"HUMAN"	FALSE	26
"sp|A0A0A0MS04|TVB67_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0A0MS05|TVB57_HUMAN"	"HUMAN"	FALSE	19
"sp|A0A0A0MS06|TVB23_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A0A0MS14|HV145_HUMAN"	"HUMAN"	FALSE	42
"sp|A0A0A0MS15|HV349_HUMAN"	"HUMAN"	FALSE	42
"sp|A0A0A0MT36|KVD21_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0A0MT70|TJB26_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0A0MT76|LJ01_HUMAN"	"HUMAN"	FALSE	14
"sp|A0A0A0MT78|TJB27_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0A0MT87|TJB24_HUMAN"	"HUMAN"	TRUE	4
"sp|A0A0A0MT89|KJ01_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0A0MT94|TJB22_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0A0MTA4|TJB25_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0A0MTA7|TJB21_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0A6YYC5|TVA14_HUMAN"	"HUMAN"	TRUE	30
"sp|A0A0A6YYD4|TVB13_HUMAN"	"HUMAN"	TRUE	37
"sp|A0A0A6YYG2|TVB66_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0A6YYG3|TVB68_HUMAN"	"HUMAN"	FALSE	26
"sp|A0A0A6YYJ7|TVA83_HUMAN"	"HUMAN"	TRUE	28
"sp|A0A0A6YYK1|TVA81_HUMAN"	"HUMAN"	TRUE	27
"sp|A0A0A6YYK4|TVB71_HUMAN"	"HUMAN"	FALSE	49
"sp|A0A0A6YYK6|TVA16_HUMAN"	"HUMAN"	FALSE	45
"sp|A0A0A6YYK7|TVA19_HUMAN"	"HUMAN"	TRUE	33
"sp|A0A0A6YYL3|POTEB_HUMAN"	"HUMAN"	FALSE	252
"sp|A0A0B4J1U3|LV136_HUMAN"	"HUMAN"	FALSE	20
"sp|A0A0B4J1U4|TRGV5_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A0B4J1U6|TVB9_HUMAN"	"HUMAN"	TRUE	26
"sp|A0A0B4J1U7|HV601_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A0B4J1V0|HV315_HUMAN"	"HUMAN"	FALSE	41
"sp|A0A0B4J1V1|HV321_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0B4J1V2|HV226_HUMAN"	"HUMAN"	FALSE	35
"sp|A0A0B4J1V6|HV373_HUMAN"	"HUMAN"	FALSE	41
"sp|A0A0B4J1V7|HV781_HUMAN"	"HUMAN"	TRUE	17
"sp|A0A0B4J1X5|HV374_HUMAN"	"HUMAN"	FALSE	36
"sp|A0A0B4J1X8|HV343_HUMAN"	"HUMAN"	FALSE	35
"sp|A0A0B4J1Y8|LV949_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0B4J1Y9|HV372_HUMAN"	"HUMAN"	FALSE	37
"sp|A0A0B4J1Z2|KVD43_HUMAN"	"HUMAN"	TRUE	27
"sp|A0A0B4J200|TJB23_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0B4J234|TVA2_HUMAN"	"HUMAN"	TRUE	25
"sp|A0A0B4J235|TVAM2_HUMAN"	"HUMAN"	FALSE	34
"sp|A0A0B4J237|TVA82_HUMAN"	"HUMAN"	FALSE	25
"sp|A0A0B4J238|TVA12_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0B4J240|TVA10_HUMAN"	"HUMAN"	FALSE	36
"sp|A0A0B4J241|TVAM1_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0B4J244|TVA3_HUMAN"	"HUMAN"	TRUE	29
"sp|A0A0B4J245|TVAL1_HUMAN"	"HUMAN"	FALSE	34
"sp|A0A0B4J248|TVA11_HUMAN"	"HUMAN"	FALSE	14
"sp|A0A0B4J249|TVA5_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0B4J262|TVA86_HUMAN"	"HUMAN"	TRUE	18
"sp|A0A0B4J263|TVA39_HUMAN"	"HUMAN"	FALSE	41
"sp|A0A0B4J264|TV381_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0B4J265|TVAZ2_HUMAN"	"HUMAN"	TRUE	30
"sp|A0A0B4J266|TVA41_HUMAN"	"HUMAN"	TRUE	26
"sp|A0A0B4J268|TVA4_HUMAN"	"HUMAN"	FALSE	30
"sp|A0A0B4J271|TVAL3_HUMAN"	"HUMAN"	FALSE	36
"sp|A0A0B4J272|TVA24_HUMAN"	"HUMAN"	TRUE	27
"sp|A0A0B4J273|TVA34_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0B4J274|TVA20_HUMAN"	"HUMAN"	FALSE	35
"sp|A0A0B4J275|TVA17_HUMAN"	"HUMAN"	FALSE	41
"sp|A0A0B4J276|TVA25_HUMAN"	"HUMAN"	FALSE	23
"sp|A0A0B4J277|TVA22_HUMAN"	"HUMAN"	TRUE	22
"sp|A0A0B4J279|TVA21_HUMAN"	"HUMAN"	FALSE	25
"sp|A0A0B4J280|TVA40_HUMAN"	"HUMAN"	TRUE	21
"sp|A0A0B4J2A2|PAL4C_HUMAN"	"HUMAN"	FALSE	74
"sp|A0A0B4J2D5|GAL3B_HUMAN"	"HUMAN"	FALSE	95
"sp|A0A0B4J2D9|KVD13_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0B4J2E0|TVBL4_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0B4J2F0|PIOS1_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A0B4J2F2|SIK1B_HUMAN"	"HUMAN"	FALSE	223
"sp|A0A0B4J2H0|HV69D_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0B7P221|RDT1_YEAST"	"YEAST"	TRUE	19
"sp|A0A0B7P3V8|YP41B_YEAST"	"YEAST"	FALSE	515
"sp|A0A0C4DH24|KV621_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0C4DH25|KVD20_HUMAN"	"HUMAN"	FALSE	18
"sp|A0A0C4DH26|KVD41_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0C4DH27|TRGV8_HUMAN"	"HUMAN"	FALSE	38
"sp|A0A0C4DH28|TRGV4_HUMAN"	"HUMAN"	FALSE	35
"sp|A0A0C4DH29|HV103_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A0C4DH30|HV316_HUMAN"	"HUMAN"	FALSE	45
"sp|A0A0C4DH31|HV118_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A0C4DH32|HV320_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0C4DH33|HV124_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0C4DH34|HV428_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0C4DH35|HV335_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0C4DH36|HV338_HUMAN"	"HUMAN"	FALSE	40
"sp|A0A0C4DH38|HV551_HUMAN"	"HUMAN"	FALSE	29
"sp|A0A0C4DH39|HV158_HUMAN"	"HUMAN"	FALSE	38
"sp|A0A0C4DH41|HV461_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0C4DH42|HV366_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0C4DH43|HV70D_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A0C4DH55|KVD07_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A0C4DH59|TVB54_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A0C4DH62|HJ01_HUMAN"	"HUMAN"	TRUE	1
"sp|A0A0C4DH67|KV108_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A0C4DH68|KV224_HUMAN"	"HUMAN"	FALSE	27
"sp|A0A0C4DH69|KV109_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0C4DH72|KV106_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0C4DH73|KV112_HUMAN"	"HUMAN"	FALSE	24
"sp|A0A0C5B5G6|MOTSC_HUMAN"	"HUMAN"	TRUE	6
"sp|A0A0D9SF12|CC163_HUMAN"	"HUMAN"	FALSE	40
"sp|A0A0G2JMD5|PRA33_HUMAN"	"HUMAN"	FALSE	197
"sp|A0A0G2JMI3|HV692_HUMAN"	"HUMAN"	FALSE	28
"sp|A0A0G2JS06|LV539_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0J9YVY3|HV741_HUMAN"	"HUMAN"	FALSE	25
"sp|A0A0J9YWL9|TX13C_HUMAN"	"HUMAN"	FALSE	345
"sp|A0A0J9YWP8|TJB13_HUMAN"	"HUMAN"	TRUE	1
"sp|A0A0J9YWX3|TJB16_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0J9YX06|TJB12_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0J9YX35|HV64D_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0J9YX75|TVB69_HUMAN"	"HUMAN"	FALSE	29
"sp|A0A0J9YX94|PMA6F_HUMAN"	"HUMAN"	FALSE	162
"sp|A0A0J9YXA8|TJB11_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0J9YXG5|TJB14_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0J9YXM7|TJB15_HUMAN"	"HUMAN"	TRUE	2
"sp|A0A0J9YXQ4|PMA6E_HUMAN"	"HUMAN"	FALSE	163
"sp|A0A0J9YXX1|HV5X1_HUMAN"	"HUMAN"	FALSE	29
"sp|A0A0J9YXY3|TVB62_HUMAN"	"HUMAN"	FALSE	29
"sp|A0A0J9YY54|TX13D_HUMAN"	"HUMAN"	FALSE	221
"sp|A0A0K0K1A3|TVBJ1_HUMAN"	"HUMAN"	FALSE	32
"sp|A0A0K0K1A5|TVB65_HUMAN"	"HUMAN"	FALSE	22
"sp|A0A0K0K1B3|TVB30_HUMAN"	"HUMAN"	FALSE	21
"sp|A0A0K0K1C0|TVBK1_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0K0K1C4|TVB27_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0K0K1D8|TVB61_HUMAN"	"HUMAN"	FALSE	31
"sp|A0A0K0K1E9|TVB77_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A0K0K1G6|TVBJ3_HUMAN"	"HUMAN"	FALSE	38
"sp|A0A0K0K1G8|TVBJ2_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A0K2S4Q6|CD3CH_HUMAN"	"HUMAN"	TRUE	40
"sp|A0A0U1RQE8|GLYLB_HUMAN"	"HUMAN"	FALSE	113
"sp|A0A0U1RQF7|DP2NB_HUMAN"	"HUMAN"	FALSE	46
"sp|A0A0U1RQI7|KLF18_HUMAN"	"HUMAN"	FALSE	102
"sp|A0A0U1RQS6|TM275_HUMAN"	"HUMAN"	FALSE	39
"sp|A0A0U1RR11|CENL1_HUMAN"	"HUMAN"	FALSE	121
"sp|A0A0U1RR37|CA232_HUMAN"	"HUMAN"	FALSE	60
"sp|A0A0U1RRA0|ZNOS_HUMAN"	"HUMAN"	TRUE	27
"sp|A0A0U1RRE5|NBDY_HUMAN"	"HUMAN"	TRUE	23
"sp|A0A0U1RRI6|CENL3_HUMAN"	"HUMAN"	FALSE	119
"sp|A0A0U1RRK4|LBHD2_HUMAN"	"HUMAN"	TRUE	31
"sp|A0A0U1RRL7|MMPOS_HUMAN"	"HUMAN"	TRUE	10
"sp|A0A0U1RRN3|SPTOS_HUMAN"	"HUMAN"	TRUE	15
"sp|A0A0X1KG70|ORM2B_HUMAN"	"HUMAN"	FALSE	62
"sp|A0A183|LCE6A_HUMAN"	"HUMAN"	FALSE	33
"sp|A0A1B0GTB2|TUNAR_HUMAN"	"HUMAN"	FALSE	9
"sp|A0A1B0GTC6|CC085_HUMAN"	"HUMAN"	TRUE	21
"sp|A0A1B0GTD5|TEX49_HUMAN"	"HUMAN"	FALSE	56
"sp|A0A1B0GTH6|CS2IP_HUMAN"	"HUMAN"	FALSE	263
"sp|A0A1B0GTI1|CC201_HUMAN"	"HUMAN"	FALSE	62
"sp|A0A1B0GTI8|TM272_HUMAN"	"HUMAN"	FALSE	45
"sp|A0A1B0GTK4|F237A_HUMAN"	"HUMAN"	FALSE	68
"sp|A0A1B0GTK5|F236D_HUMAN"	"HUMAN"	FALSE	31
"sp|A0A1B0GTL2|CT204_HUMAN"	"HUMAN"	FALSE	108
"sp|A0A1B0GTQ4|MYMX_HUMAN"	"HUMAN"	FALSE	42
"sp|A0A1B0GTR0|EDD13_HUMAN"	"HUMAN"	FALSE	72
"sp|A0A1B0GTR3|CX05A_HUMAN"	"HUMAN"	FALSE	74
"sp|A0A1B0GTR4|SPRR5_HUMAN"	"HUMAN"	TRUE	23
"sp|A0A1B0GTS1|HSFX4_HUMAN"	"HUMAN"	FALSE	126
"sp|A0A1B0GTU1|ZC11B_HUMAN"	"HUMAN"	FALSE	381
"sp|A0A1B0GTU2|CTXD1_HUMAN"	"HUMAN"	TRUE	9
"sp|A0A1B0GTW7|LMLN2_HUMAN"	"HUMAN"	FALSE	223
"sp|A0A1B0GTY4|TEX50_HUMAN"	"HUMAN"	FALSE	69
"sp|A0A1B0GTZ2|CC196_HUMAN"	"HUMAN"	FALSE	169
"sp|A0A1B0GU29|SIM28_HUMAN"	"HUMAN"	TRUE	25
"sp|A0A1B0GU33|TEX53_HUMAN"	"HUMAN"	FALSE	32
