description,gene_name
sp|Cont_P60370|KR105_HUMAN,Cont_P60370
sp|Cont_P60371|KR106_HUMAN,Cont_P60371
sp|Cont_P60372|KR104_HUMAN,Cont_P60372
sp|Cont_P60409|KR107_HUMAN,Cont_P60409
sp|Cont_P60410|KR108_HUMAN,Cont_P60410
sp|Cont_P60411|KR109_HUMAN,Cont_P60411
sp|Cont_P60412|KR10B_HUMAN,Cont_P60412
sp|Cont_P60413|KR10C_HUMAN,Cont_P60413
sp|Cont_P78385|KRT83_HUMAN,Cont_P78385
sp|Cont_P78386|KRT85_HUMAN,Cont_P78386
sp|Cont_Q01546|K22O_HUMAN,Cont_Q01546
sp|Cont_Q04695|K1C17_HUMAN,Cont_Q04695
sp|Cont_Q07627|KRA11_HUMAN,Cont_Q07627
sp|Cont_Q14525|KT33B_HUMAN,Cont_Q14525
sp|Cont_Q14532|K1H2_HUMAN,Cont_Q14532
sp|Cont_Q14533|KRT81_HUMAN,Cont_Q14533
sp|Cont_Q14CN4|K2C72_HUMAN,Cont_Q14CN4
sp|Cont_Q15323|K1H1_HUMAN,Cont_Q15323
sp|Cont_Q2M2I5|K1C24_HUMAN,Cont_Q2M2I5
tr|Cont_Q3KNV1|Q3KNV1_HUMAN,Cont_Q3KNV1
sp|Cont_Q3LHN0|KR251_HUMAN,Cont_Q3LHN0
sp|Cont_Q3LHN1|KR213_HUMAN,Cont_Q3LHN1
sp|Cont_Q3LHN2|KR192_HUMAN,Cont_Q3LHN2
sp|Cont_Q3LI54|KR198_HUMAN,Cont_Q3LI54
sp|Cont_Q3LI58|KR211_HUMAN,Cont_Q3LI58
sp|Cont_Q3LI59|KR212_HUMAN,Cont_Q3LI59
sp|Cont_Q3LI61|KR202_HUMAN,Cont_Q3LI61
sp|Cont_Q3LI63|KR201_HUMAN,Cont_Q3LI63
sp|Cont_Q3LI64|KRA61_HUMAN,Cont_Q3LI64
sp|Cont_Q3LI66|KRA62_HUMAN,Cont_Q3LI66
sp|Cont_Q3LI67|KRA63_HUMAN,Cont_Q3LI67
sp|Cont_Q3LI70|KR196_HUMAN,Cont_Q3LI70
sp|Cont_Q3LI72|KR195_HUMAN,Cont_Q3LI72
sp|Cont_Q3LI73|KR194_HUMAN,Cont_Q3LI73
sp|Cont_Q3LI76|KR151_HUMAN,Cont_Q3LI76
sp|Cont_Q3LI77|KR134_HUMAN,Cont_Q3LI77
sp|Cont_Q3LI81|KR271_HUMAN,Cont_Q3LI81
sp|Cont_Q3LI83|KR241_HUMAN,Cont_Q3LI83
sp|Cont_Q3MIV0|KR221_HUMAN,Cont_Q3MIV0
sp|Cont_Q3SY46|KR133_HUMAN,Cont_Q3SY46
sp|Cont_Q3SY84|K2C71_HUMAN,Cont_Q3SY84
sp|Cont_Q3SYF9|KR197_HUMAN,Cont_Q3SYF9
sp|Cont_Q52LG2|KR132_HUMAN,Cont_Q52LG2
sp|Cont_Q5D862|FILA2_HUMAN,Cont_Q5D862
sp|Cont_Q5XKE5|K2C79_HUMAN,Cont_Q5XKE5
sp|Cont_Q6A162|K1C40_HUMAN,Cont_Q6A162
sp|Cont_Q6A163|K1C39_HUMAN,Cont_Q6A163
sp|Cont_Q6E0U4|DMKN_HUMAN,Cont_Q6E0U4
sp|Cont_Q6KB66|K2C80_HUMAN,Cont_Q6KB66
sp|Cont_Q6L8G4|KR511_HUMAN,Cont_Q6L8G4
sp|Cont_Q6L8G5|KR510_HUMAN,Cont_Q6L8G5
sp|Cont_Q6L8G8|KRA57_HUMAN,Cont_Q6L8G8
sp|Cont_Q6L8G9|KRA56_HUMAN,Cont_Q6L8G9
sp|Cont_Q6L8H1|KRA54_HUMAN,Cont_Q6L8H1
sp|Cont_Q6L8H2|KRA53_HUMAN,Cont_Q6L8H2
sp|Cont_Q6L8H4|KRA51_HUMAN,Cont_Q6L8H4
sp|Cont_Q6PEX3|KR261_HUMAN,Cont_Q6PEX3
sp|Cont_Q701N2|KRA55_HUMAN,Cont_Q701N2
sp|Cont_Q701N4|KRA52_HUMAN,Cont_Q701N4
sp|Cont_Q7RTS7|K2C74_HUMAN,Cont_Q7RTS7
sp|Cont_Q7Z3Y7|K1C28_HUMAN,Cont_Q7Z3Y7
sp|Cont_Q7Z3Y8|K1C27_HUMAN,Cont_Q7Z3Y8
sp|Cont_Q7Z3Y9|K1C26_HUMAN,Cont_Q7Z3Y9
sp|Cont_Q7Z3Z0|K1C25_HUMAN,Cont_Q7Z3Z0
sp|Cont_Q7Z4W3|KR193_HUMAN,Cont_Q7Z4W3
sp|Cont_Q7Z794|K2C1B_HUMAN,Cont_Q7Z794
sp|Cont_Q86Y46|K2C73_HUMAN,Cont_Q86Y46
sp|Cont_Q86YZ3|HORN_HUMAN,Cont_Q86YZ3
sp|Cont_Q8IUB9|KR191_HUMAN,Cont_Q8IUB9
sp|Cont_Q8IUC0|KR131_HUMAN,Cont_Q8IUC0
sp|Cont_Q8IUC1|KR111_HUMAN,Cont_Q8IUC1
sp|Cont_Q8IUC2|KRA81_HUMAN,Cont_Q8IUC2
sp|Cont_Q8IUC3|KRA71_HUMAN,Cont_Q8IUC3
sp|Cont_Q8IUG1|KRA13_HUMAN,Cont_Q8IUG1
sp|Cont_Q8N1A0|KT222_HUMAN,Cont_Q8N1A0
sp|Cont_Q8N1N4|K2C78_HUMAN,Cont_Q8N1N4
sp|Cont_Q92764|KRT35_HUMAN,Cont_Q92764
sp|Cont_Q99456|K1C12_HUMAN,Cont_Q99456
sp|Cont_Q9BQ66|KR412_HUMAN,Cont_Q9BQ66
sp|Cont_Q9BYP8|KR171_HUMAN,Cont_Q9BYP8
sp|Cont_Q9BYP9|KRA99_HUMAN,Cont_Q9BYP9
sp|Cont_Q9BYQ0|KRA98_HUMAN,Cont_Q9BYQ0
sp|Cont_Q9BYQ2|KRA94_HUMAN,Cont_Q9BYQ2
sp|Cont_Q9BYQ3|KRA93_HUMAN,Cont_Q9BYQ3
sp|Cont_Q9BYQ4|KRA92_HUMAN,Cont_Q9BYQ4
sp|Cont_Q9BYQ5|KRA46_HUMAN,Cont_Q9BYQ5
sp|Cont_Q9BYQ6|KR411_HUMAN,Cont_Q9BYQ6
sp|Cont_Q9BYQ7|KRA41_HUMAN,Cont_Q9BYQ7
sp|Cont_Q9BYQ8|KRA49_HUMAN,Cont_Q9BYQ8
sp|Cont_Q9BYQ9|KRA48_HUMAN,Cont_Q9BYQ9
sp|Cont_Q9BYR0|KRA47_HUMAN,Cont_Q9BYR0
sp|Cont_Q9BYR2|KRA45_HUMAN,Cont_Q9BYR2
sp|Cont_Q9BYR3|KRA44_HUMAN,Cont_Q9BYR3
sp|Cont_Q9BYR4|KRA43_HUMAN,Cont_Q9BYR4
sp|Cont_Q9BYR5|KRA42_HUMAN,Cont_Q9BYR5
sp|Cont_Q9BYR6|KRA33_HUMAN,Cont_Q9BYR6
sp|Cont_Q9BYR7|KRA32_HUMAN,Cont_Q9BYR7
sp|Cont_Q9BYR8|KRA31_HUMAN,Cont_Q9BYR8
sp|Cont_Q9BYR9|KRA24_HUMAN,Cont_Q9BYR9
sp|Cont_Q9BYS1|KRA15_HUMAN,Cont_Q9BYS1
sp|Cont_Q9BYT5|KRA22_HUMAN,Cont_Q9BYT5
sp|Cont_Q9BYU5|KRA21_HUMAN,Cont_Q9BYU5
sp|Cont_Q9C075|K1C23_HUMAN,Cont_Q9C075
sp|Cont_Q9NSB2|KRT84_HUMAN,Cont_Q9NSB2
sp|Cont_Q9NSB4|KRT82_HUMAN,Cont_Q9NSB4
sp|Cont_P15252|REF_HEVBR,Cont_P15252
sp|Cont_O82803|SRPP_HEVBR,Cont_O82803
tr|Cont_Q1WEI2|Q1WEI2_PSEAI,Cont_Q1WEI2
sp|Cont_Q61765|K1H1_MOUSE,Cont_Q61765
sp|Cont_Q62168|K1H2_MOUSE,Cont_Q62168
sp|Cont_Q9D646|KRT34_MOUSE,Cont_Q9D646
sp|Cont_Q497I4|KRT35_MOUSE,Cont_Q497I4
sp|Cont_P02535|K1C10_MOUSE,Cont_P02535
sp|Cont_P08730|K1C13_MOUSE,Cont_P08730
sp|Cont_Q9Z2K1|K1C16_MOUSE,Cont_Q9Z2K1
sp|Cont_Q9QWL7|K1C17_MOUSE,Cont_Q9QWL7
sp|Cont_P05784|K1C18_MOUSE,Cont_P05784
sp|Cont_P19001|K1C19_MOUSE,Cont_P19001
sp|Cont_Q9D312|K1C20_MOUSE,Cont_Q9D312
sp|Cont_Q99PS0|K1C23_MOUSE,Cont_Q99PS0
sp|Cont_Q6IFX4|K1C39_MOUSE,Cont_Q6IFX4
sp|Cont_Q6IFX2|K1C42_MOUSE,Cont_Q6IFX2
sp|Cont_Q6IFZ6|K2C1B_MOUSE,Cont_Q6IFZ6
sp|Cont_Q3TTY5|K22E_MOUSE,Cont_Q3TTY5
sp|Cont_P07744|K2C4_MOUSE,Cont_P07744
sp|Cont_Q922U2|K2C5_MOUSE,Cont_Q922U2
sp|Cont_P50446|K2C6A_MOUSE,Cont_P50446
sp|Cont_Q9DCV7|K2C7_MOUSE,Cont_Q9DCV7
sp|Cont_Q9R0H5|K2C71_MOUSE,Cont_Q9R0H5
sp|Cont_Q6IME9|K2C72_MOUSE,Cont_Q6IME9
sp|Cont_Q6NXH9|K2C73_MOUSE,Cont_Q6NXH9
sp|Cont_Q8BGZ7|K2C75_MOUSE,Cont_Q8BGZ7
sp|Cont_Q8VED5|K2C79_MOUSE,Cont_Q8VED5
sp|Cont_Q0VBK2|K2C80_MOUSE,Cont_Q0VBK2
sp|Cont_P00330|ADH1_YEAST,Cont_P00330
sp|Cont_P00004|CYC_HORSE,Cont_P00004
sp|Cont_P00883|ALDOA_RABIT,Cont_P00883
sp|Cont_P32503|GAG_SCVLA,Cont_P32503
sp|Cont_P68082|MYG_HORSE,Cont_P68082
sp|Cont_P01012|OVAL_CHICK,Cont_P01012
sp|Cont_Q9R4J4|ASPN_PSEFR,Cont_Q9R4J4
sp|Cont_Q32KY0|APOD_BOVIN,Cont_Q32KY0
sp|Cont_Q2KIX7|HP251_BOVIN,Cont_Q2KIX7
sp|Cont_O02659|MBL2_BOVIN,Cont_O02659
sp|Cont_Q24K22|HGFL_BOVIN,Cont_Q24K22
sp|Cont_Q2KJ39|RCN3_BOVIN,Cont_Q2KJ39
sp|Cont_Q9TTK6|AOC3_BOVIN,Cont_Q9TTK6
sp|Cont_P68103|EF1A1_BOVIN,Cont_P68103
sp|Cont_P12260|F13A_BOVIN,Cont_P12260
sp|Cont_P31836|NCAM1_BOVIN,Cont_P31836
sp|Cont_P42916|CL43_BOVIN,Cont_P42916
sp|Cont_P80109|PHLD_BOVIN,Cont_P80109
sp|Cont_Q29437|AOCX_BOVIN,Cont_Q29437
sp|Cont_Q8SPP7|PGRP1_BOVIN,Cont_Q8SPP7
sp|Cont_Q3SYV4|CAP1_BOVIN,Cont_Q3SYV4
sp|Cont_Q9TTJ5|RGN_BOVIN,Cont_Q9TTJ5
sp|Cont_A2I7N2|SPA36_BOVIN,Cont_A2I7N2
sp|Cont_A6QPQ2|SPA38_BOVIN,Cont_A6QPQ2
sp|Cont_A7E3W2|LG3BP_BOVIN,Cont_A7E3W2
sp|Cont_G3MYZ3|AFAM_BOVIN,Cont_G3MYZ3
sp|Cont_O46375|TTHY_BOVIN,Cont_O46375
sp|Cont_P00741|FA9_BOVIN,Cont_P00741
sp|Cont_P00743|FA10_BOVIN,Cont_P00743
sp|Cont_P00745|PROC_BOVIN,Cont_P00745
sp|Cont_P01017|ANGT_BOVIN,Cont_P01017
sp|Cont_P01035|CYTC_BOVIN,Cont_P01035
sp|Cont_P01267|THYG_BOVIN,Cont_P01267
sp|Cont_P02453|CO1A1_BOVIN,Cont_P02453
sp|Cont_P02465|CO1A2_BOVIN,Cont_P02465
sp|Cont_P07589|FINC_BOVIN,Cont_P07589
sp|Cont_P08169|MPRI_BOVIN,Cont_P08169
sp|Cont_P12799|FIBG_BOVIN,Cont_P12799
sp|Cont_P13384|IBP2_BOVIN,Cont_P13384
sp|Cont_P13605|FMOD_BOVIN,Cont_P13605
sp|Cont_P18902|RET4_BOVIN,Cont_P18902
sp|Cont_P33433|HRG_BOVIN,Cont_P33433
sp|Cont_P55906|BGH3_BOVIN,Cont_P55906
sp|Cont_P60712|ACTB_BOVIN,Cont_P60712
sp|Cont_P63103|1433Z_BOVIN,Cont_P63103
sp|Cont_P68138|ACTS_BOVIN,Cont_P68138
sp|Cont_P80012|VWF_BOVIN,Cont_P80012
sp|Cont_P81187|CFAB_BOVIN,Cont_P81187
sp|Cont_P81948|TBA4A_BOVIN,Cont_P81948
sp|Cont_P98140|FA12_BOVIN,Cont_P98140
sp|Cont_Q28106|CNTN1_BOVIN,Cont_Q28106
sp|Cont_Q28178|TSP1_BOVIN,Cont_Q28178
sp|Cont_Q2HJ86|TBA1D_BOVIN,Cont_Q2HJ86
sp|Cont_Q2KJ63|KLKB1_BOVIN,Cont_Q2KJ63
sp|Cont_Q2KJD0|TBB5_BOVIN,Cont_Q2KJD0
sp|Cont_Q3SWW8|TSP4_BOVIN,Cont_Q3SWW8
sp|Cont_Q3ZCH5|ZA2G_BOVIN,Cont_Q3ZCH5
sp|Cont_Q58CQ9|VNN1_BOVIN,Cont_Q58CQ9
sp|Cont_Q5E9B1|LDHB_BOVIN,Cont_Q5E9B1
sp|Cont_Q5E9Z2|HABP2_BOVIN,Cont_Q5E9Z2
sp|Cont_Q5NTB3|FA11_BOVIN,Cont_Q5NTB3
sp|Cont_Q6URK6|CADH5_BOVIN,Cont_Q6URK6
sp|Cont_Q9XSJ4|ENOA_BOVIN,Cont_Q9XSJ4
sp|Cont_A2I7N0|SPA34_BOVIN,Cont_A2I7N0
sp|Cont_A2I7N1|SPA35_BOVIN,Cont_A2I7N1
sp|Cont_A2I7N3|SPA37_BOVIN,Cont_A2I7N3
sp|Cont_E1BF81|CBG_BOVIN,Cont_E1BF81
sp|Cont_P00735|THRB_BOVIN,Cont_P00735
sp|Cont_P00978|AMBP_BOVIN,Cont_P00978
sp|Cont_P01044|KNG1_BOVIN,Cont_P01044
sp|Cont_P01045|KNG2_BOVIN,Cont_P01045
sp|Cont_P01966|HBA_BOVIN,Cont_P01966
sp|Cont_P02070|HBB_BOVIN,Cont_P02070
sp|Cont_P02081|HBBF_BOVIN,Cont_P02081
sp|Cont_P02584|PROF1_BOVIN,Cont_P02584
sp|Cont_P02672|FIBA_BOVIN,Cont_P02672
sp|Cont_P02676|FIBB_BOVIN,Cont_P02676
sp|Cont_P07224|PROS_BOVIN,Cont_P07224
sp|Cont_P17690|APOH_BOVIN,Cont_P17690
sp|Cont_P17697|CLUS_BOVIN,Cont_P17697
sp|Cont_P28800|A2AP_BOVIN,Cont_P28800
sp|Cont_P35445|COMP_BOVIN,Cont_P35445
sp|Cont_P41361|ANT3_BOVIN,Cont_P41361
sp|Cont_P50448|F12AI_BOVIN,Cont_P50448
sp|Cont_P56652|ITIH3_BOVIN,Cont_P56652
sp|Cont_P81644|APOA2_BOVIN,Cont_P81644
sp|Cont_Q03247|APOE_BOVIN,Cont_Q03247
sp|Cont_Q05443|LUM_BOVIN,Cont_Q05443
sp|Cont_Q28065|C4BPA_BOVIN,Cont_Q28065
sp|Cont_Q28085|CFAH_BOVIN,Cont_Q28085
sp|Cont_Q28107|FA5_BOVIN,Cont_Q28107
sp|Cont_Q29RQ1|CO7_BOVIN,Cont_Q29RQ1
sp|Cont_Q2KIG3|CBPB2_BOVIN,Cont_Q2KIG3
sp|Cont_Q2KIS7|TETN_BOVIN,Cont_Q2KIS7
sp|Cont_Q2KIU3|HP252_BOVIN,Cont_Q2KIU3
sp|Cont_Q2KJF1|A1BG_BOVIN,Cont_Q2KJF1
sp|Cont_Q32PJ2|APOA4_BOVIN,Cont_Q32PJ2
sp|Cont_Q3MHN2|CO9_BOVIN,Cont_Q3MHN2
sp|Cont_Q3MHN5|VTDB_BOVIN,Cont_Q3MHN5
sp|Cont_Q3SX14|GELS_BOVIN,Cont_Q3SX14
sp|Cont_Q3T052|ITIH4_BOVIN,Cont_Q3T052
sp|Cont_Q3Y5Z3|ADIPO_BOVIN,Cont_Q3Y5Z3
sp|Cont_Q58D62|FETUB_BOVIN,Cont_Q58D62
sp|Cont_Q95121|PEDF_BOVIN,Cont_Q95121
sp|Cont_Q95M17|CHIA_BOVIN,Cont_Q95M17
sp|Cont_Q9N2I2|IPSP_BOVIN,Cont_Q9N2I2
sp|Cont_Q9TT36|THBG_BOVIN,Cont_Q9TT36
sp|Cont_Q9TTE1|SPA31_BOVIN,Cont_Q9TTE1
tr|Cont_A0A3Q1M032|A0A3Q1M032_BOVIN,Cont_A0A3Q1M032
tr|Cont_A0A3Q1MJB2|A0A3Q1MJB2_BOVIN,Cont_A0A3Q1MJB2
tr|Cont_A5PJ69|A5PJ69_BOVIN,Cont_A5PJ69
tr|Cont_E1BCW0|E1BCW0_BOVIN,Cont_E1BCW0
tr|Cont_E1BJK2|E1BJK2_BOVIN,Cont_E1BJK2
tr|Cont_G3N188|G3N188_BOVIN,Cont_G3N188
tr|Cont_G5E513|G5E513_BOVIN,Cont_G5E513
tr|Cont_Q1A7A4|Q1A7A4_BOVIN,Cont_Q1A7A4
tr|Cont_Q1RMN8|Q1RMN8_BOVIN,Cont_Q1RMN8
tr|Cont_Q2KIF2|Q2KIF2_BOVIN,Cont_Q2KIF2
tr|Cont_Q2KIH2|Q2KIH2_BOVIN,Cont_Q2KIH2
sp|Cont_Q2KIT0|HP20_BOVIN,Cont_Q2KIT0
sp|Cont_Q2KJ83|CBPN_BOVIN,Cont_Q2KJ83
tr|Cont_Q2KJC7|Q2KJC7_BOVIN,Cont_Q2KJC7
tr|Cont_Q2TBQ1|Q2TBQ1_BOVIN,Cont_Q2TBQ1
tr|Cont_Q32PI4|Q32PI4_BOVIN,Cont_Q32PI4
tr|Cont_Q3MHH8|Q3MHH8_BOVIN,Cont_Q3MHH8
tr|Cont_Q3ZBS7|Q3ZBS7_BOVIN,Cont_Q3ZBS7
tr|Cont_Q6T181|Q6T181_BOVIN,Cont_Q6T181
sp|Cont_P02769|ALBU_BOVIN,Cont_P02769
sp|Cont_Q3SZR3|A1AG_BOVIN,Cont_Q3SZR3
sp|Cont_P34955|A1AT_BOVIN,Cont_P34955
sp|Cont_P12763|FETUA_BOVIN,Cont_P12763
sp|Cont_Q7SIH1|A2MG_BOVIN,Cont_Q7SIH1
sp|Cont_Q3SZ57|FETA_BOVIN,Cont_Q3SZ57
sp|Cont_P00711|LALBA_BOVIN,Cont_P00711
sp|Cont_P02662|CASA1_BOVIN,Cont_P02662
sp|Cont_P02663|CASA2_BOVIN,Cont_P02663
sp|Cont_Q29463|TRY2_BOVIN,Cont_Q29463
sp|Cont_P15497|APOA1_BOVIN,Cont_P15497
sp|Cont_P02666|CASB_BOVIN,Cont_P02666
sp|Cont_P02754|LACB_BOVIN,Cont_P02754
tr|Cont_Q3KUS7|Q3KUS7_BOVIN,Cont_Q3KUS7
sp|Cont_P00921|CAH2_BOVIN,Cont_P00921
sp|Cont_P00760|TRY1_BOVIN,Cont_P00760
sp|Cont_P00766|CTRA_BOVIN,Cont_P00766
sp|Cont_P00767|CTRB_BOVIN,Cont_P00767
sp|Cont_P04258|CO3A1_BOVIN,Cont_P04258
sp|Cont_Q2UVX4|CO3_BOVIN,Cont_Q2UVX4
sp|Cont_P01030|CO4_BOVIN,Cont_P01030
sp|Cont_P62894|CYC_BOVIN,Cont_P62894
sp|Cont_Q3ZBD7|G6PI_BOVIN,Cont_Q3ZBD7
sp|Cont_P00366|DHE3_BOVIN,Cont_P00366
sp|Cont_Q3SZV7|HEMO_BOVIN,Cont_Q3SZV7
tr|Cont_Q05B55|Q05B55_BOVIN,Cont_Q05B55
sp|Cont_Q0VCM5|ITIH1_BOVIN,Cont_Q0VCM5
sp|Cont_P02668|CASK_BOVIN,Cont_P02668
sp|Cont_P67983|MT1A_BOVIN,Cont_P67983
sp|Cont_Q2YDI2|ORC4_BOVIN,Cont_Q2YDI2
sp|Cont_P31096|OSTP_BOVIN,Cont_P31096
sp|Cont_P00792|PEPA_BOVIN,Cont_P00792
sp|Cont_P06868|PLMN_BOVIN,Cont_P06868
sp|Cont_P02777|PLF4_BOVIN,Cont_P02777
sp|Cont_Q29443|TRFE_BOVIN,Cont_Q29443
tr|Cont_Q2HJF0|Q2HJF0_BOVIN,Cont_Q2HJF0
sp|Cont_P21752|TYB10_BOVIN,Cont_P21752
sp|Cont_Q5KR48|TPM2_BOVIN,Cont_Q5KR48
tr|Cont_A0A3Q1M3L6|A0A3Q1M3L6_BOVIN,Cont_A0A3Q1M3L6
sp|Cont_O77727|K1C15_SHEEP,Cont_O77727
sp|Cont_P02438|KRB2A_SHEEP,Cont_P02438
sp|Cont_P02439|KRB2B_SHEEP,Cont_P02439
sp|Cont_P02440|KRB2C_SHEEP,Cont_P02440
sp|Cont_P02441|KRA3_SHEEP,Cont_P02441
sp|Cont_P02443|KRA3A_SHEEP,Cont_P02443
sp|Cont_P02444|KRA33_SHEEP,Cont_P02444
sp|Cont_P02445|KRA34_SHEEP,Cont_P02445
sp|Cont_P02534|K1M1_SHEEP,Cont_P02534
sp|Cont_P02539|K2M1_SHEEP,Cont_P02539
sp|Cont_P08131|KRB2D_SHEEP,Cont_P08131
sp|Cont_P15241|K2M2_SHEEP,Cont_P15241
sp|Cont_P25690|K1M2_SHEEP,Cont_P25690
sp|Cont_P25691|K2M3_SHEEP,Cont_P25691
sp|Cont_P26372|KRUC_SHEEP,Cont_P26372
sp|Cont_Q02958|KRA61_SHEEP,Cont_Q02958
sp|Cont_P22629|SAV_STRAV,Cont_P22629
sp|Cont_P00761|TRYP_PIG,Cont_P00761
sp|Cont_P21578|LUXY_ALIFS,Cont_P21578
sp|Cont_AAAA1|Anti-FLAG_AffinityTag,Cont_AAAA1
sp|Cont_AAAA2|Anti-HA_AffinityTag,Cont_AAAA2
sp|Q9NWW9|PLAT2_HUMAN,Q9NWW9
sp|Q99569|PKP4_HUMAN,Q99569
sp|Q02325|PLGB_HUMAN,Q02325
sp|Q6UXB8|PI16_HUMAN,Q6UXB8
sp|P62195|PRS8_HUMAN,P62195
sp|Q13523|PRP4B_HUMAN,Q13523
sp|A0A0G2JMD5|PRA33_HUMAN,A0A0G2JMD5
sp|P23470|PTPRG_HUMAN,P23470
sp|Q86Y79|PTH_HUMAN,Q86Y79
sp|Q99952|PTN18_HUMAN,Q99952
sp|P08708|RS17_HUMAN,P08708
sp|Q9HAC7|SUCHY_HUMAN,Q9HAC7
sp|Q9Y3F1|TA6P_HUMAN,Q9Y3F1
sp|G2XKQ0|SUMO5_HUMAN,G2XKQ0
sp|B0FP48|UPK3L_HUMAN,B0FP48
sp|Q7L8C5|SYT13_HUMAN,Q7L8C5
sp|Q9BT88|SYT11_HUMAN,Q9BT88
sp|Q9Y6N9|USH1C_HUMAN,Q9Y6N9
sp|Q495M9|USH1G_HUMAN,Q495M9
sp|A0A1B0GUX0|VAFNB_HUMAN,A0A1B0GUX0
sp|O75410|TACC1_HUMAN,O75410
sp|Q5DID0|UROL1_HUMAN,Q5DID0
sp|Q8TBG9|SYNPR_HUMAN,Q8TBG9
sp|Q9NVA4|T184C_HUMAN,Q9NVA4
sp|P13051|UNG_HUMAN,P13051
sp|O75528|TADA3_HUMAN,O75528
sp|P63027|VAMP2_HUMAN,P63027
sp|P21796|VDAC1_HUMAN,P21796
sp|Q15836|VAMP3_HUMAN,Q15836
sp|Q9BV40|VAMP8_HUMAN,Q9BV40
sp|Q9Y277|VDAC3_HUMAN,Q9Y277
sp|Q16864|VATF_HUMAN,Q16864
sp|Q8TAA9|VANG1_HUMAN,Q8TAA9
sp|C9J7I0|UMAD1_HUMAN,C9J7I0
sp|Q8N2C9|UMAS1_HUMAN,Q8N2C9
sp|Q9ULK5|VANG2_HUMAN,Q9ULK5
sp|O95670|VATG2_HUMAN,O95670
sp|Q96LB4|VATG3_HUMAN,Q96LB4
